STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-10-2015,40,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-17-2015,41,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-24-2015,42,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-31-2015,43,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-07-2015,44,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-14-2015,45,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-21-2015,46,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-28-2015,47,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-05-2015,48,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Dec-12-2015,49,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Dec-19-2015,50,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Dec-26-2015,51,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Jan-02-2016,52,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Jan-09-2016,1,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Jan-16-2016,2,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-23-2016,3,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Jan-30-2016,4,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-06-2016,5,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-13-2016,6,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-20-2016,7,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-27-2016,8,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-05-2016,9,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-12-2016,10,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-19-2016,11,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-26-2016,12,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-02-2016,13,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-09-2016,14,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-16-2016,15,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Apr-23-2016,16,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Apr-30-2016,17,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,May-07-2016,18,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,May-14-2016,19,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,May-21-2016,20,2015-16
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-08-2016,40,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-15-2016,41,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-22-2016,42,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-29-2016,43,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-05-2016,44,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-12-2016,45,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Nov-19-2016,46,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Nov-26-2016,47,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-03-2016,48,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Dec-10-2016,49,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-17-2016,50,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-24-2016,51,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-31-2016,52,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-07-2017,1,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-14-2017,2,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-21-2017,3,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-28-2017,4,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-04-2017,5,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-11-2017,6,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-18-2017,7,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-25-2017,8,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-04-2017,9,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-11-2017,10,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-18-2017,11,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-25-2017,12,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Apr-01-2017,13,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Apr-08-2017,14,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-15-2017,15,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-22-2017,16,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-29-2017,17,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,May-06-2017,18,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,May-13-2017,19,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,May-20-2017,20,2016-17
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-07-2017,40,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-14-2017,41,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-21-2017,42,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-28-2017,43,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Nov-04-2017,44,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-11-2017,45,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Nov-18-2017,46,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Nov-25-2017,47,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-02-2017,48,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-09-2017,49,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-16-2017,50,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-23-2017,51,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-30-2017,52,2017-18
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-06-2018,1,2017-18
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Oct-10-2015,40,2015-16
